iter	Passed	Remaining
0	0	749
1	1	767
2	2	717
3	2	740
4	3	714
5	4	691
6	4	664
7	5	660
8	5	655
9	6	644
10	6	628
11	7	621
12	8	614
13	8	606
14	9	603
15	9	606
16	10	599
17	11	600
18	11	594
19	12	589
20	12	591
21	13	589
22	13	586
23	14	584
24	14	579
25	15	577
26	15	574
27	16	571
28	17	572
29	17	570
30	18	572
31	18	569
32	19	571
33	20	568
34	20	566
35	21	562
36	21	560
37	22	560
38	22	558
39	23	556
40	23	555
41	24	554
42	24	555
43	25	554
44	25	551
45	26	550
46	27	548
47	27	546
48	28	545
49	28	545
50	29	543
51	29	542
52	30	542
53	30	540
54	31	539
55	31	537
56	32	540
57	33	540
58	33	538
59	34	538
60	34	538
61	35	539
62	36	538
63	36	538
64	37	537
65	37	536
66	38	534
67	38	532
68	39	531
69	40	531
70	40	532
71	41	530
72	41	529
73	42	528
74	42	527
75	43	526
76	43	524
77	44	523
78	44	522
79	45	522
80	46	522
81	46	523
82	47	522
83	47	523
84	48	525
85	49	524
86	49	523
87	50	524
88	51	524
89	51	524
90	52	524
91	53	524
92	53	524
93	54	523
94	54	523
95	55	521
96	56	521
97	56	521
98	57	521
99	57	520
100	58	520
101	59	519
102	59	519
103	60	519
104	60	519
105	61	519
106	62	518
107	62	518
108	63	517
109	63	516
110	64	515
111	64	514
112	65	513
113	66	513
114	66	513
115	67	512
116	67	511
117	68	510
118	68	509
119	69	509
120	70	509
121	70	507
122	71	507
123	71	507
124	72	506
125	72	505
126	73	504
127	74	504
128	75	507
129	75	505
130	76	504
131	76	503
132	77	502
133	77	501
134	78	500
135	78	500
136	79	500
137	79	499
138	80	499
139	81	498
140	81	498
141	82	496
142	82	495
143	83	494
144	83	493
145	84	493
146	85	493
147	85	493
148	86	493
149	86	492
150	87	492
151	88	492
152	88	491
153	89	490
154	89	489
155	90	488
156	90	488
157	91	487
158	92	487
159	92	486
160	92	484
161	93	483
162	94	483
163	94	482
164	95	482
165	96	482
166	96	481
167	97	481
168	97	480
169	98	479
170	98	479
171	99	478
172	100	478
173	100	476
174	100	476
175	101	475
176	102	475
177	102	474
178	103	473
179	103	472
180	104	472
181	104	471
182	105	470
183	105	469
184	106	469
185	107	468
186	107	467
187	108	467
188	108	466
189	109	465
190	109	465
191	110	465
192	111	464
193	111	463
194	112	462
195	112	461
196	113	461
197	113	461
198	114	460
199	114	459
200	115	458
201	116	458
202	116	458
203	117	457
204	117	456
205	118	456
206	118	455
207	119	455
208	120	454
209	120	453
210	121	452
211	121	451
212	122	451
213	122	450
214	123	450
215	123	449
216	124	448
217	124	448
218	125	447
219	126	446
220	126	446
221	127	445
222	127	444
223	128	443
224	128	443
225	129	442
226	129	442
227	130	441
228	131	441
229	131	441
230	132	440
231	132	440
232	133	439
233	133	438
234	134	437
235	135	437
236	135	436
237	136	435
238	136	435
239	137	434
240	137	434
241	138	433
242	138	432
243	139	432
244	140	431
245	140	431
246	141	430
247	141	429
248	142	428
249	142	428
250	143	427
251	143	426
252	144	425
253	144	425
254	145	424
255	145	424
256	146	423
257	147	423
258	147	422
259	148	421
260	148	421
261	149	420
262	149	420
263	150	419
264	150	418
265	151	417
266	152	417
267	152	416
268	153	416
269	153	415
270	154	414
271	154	414
272	155	413
273	155	412
274	156	412
275	156	411
276	157	411
277	158	410
278	158	409
279	159	409
280	159	408
281	160	408
282	160	407
283	161	407
284	162	406
285	162	405
286	163	405
287	163	404
288	164	403
289	164	403
290	165	402
291	165	402
292	166	401
293	166	400
294	167	400
295	168	399
296	168	399
297	169	398
298	169	398
299	170	397
300	171	397
301	171	396
302	172	396
303	172	395
304	173	394
305	173	394
306	174	394
307	175	393
308	175	392
309	176	392
310	176	392
311	177	391
312	178	390
313	178	390
314	179	389
315	179	389
316	180	388
317	180	387
318	181	387
319	181	386
320	182	385
321	183	385
322	183	384
323	184	384
324	184	383
325	185	383
326	185	382
327	186	381
328	186	381
329	187	380
330	187	379
331	188	379
332	189	378
333	189	378
334	190	377
335	190	377
336	191	376
337	191	376
338	192	375
339	193	374
340	193	374
341	194	373
342	194	373
343	195	372
344	195	372
345	196	371
346	197	370
347	197	370
348	198	369
349	198	369
350	199	368
351	199	367
352	200	367
353	200	366
354	201	365
355	201	365
356	202	364
357	203	364
358	203	363
359	204	362
360	204	362
361	205	361
362	205	360
363	206	360
364	206	359
365	207	359
366	207	358
367	208	358
368	209	357
369	209	356
370	210	356
371	210	355
372	211	355
373	211	354
374	212	353
375	212	353
376	213	352
377	214	352
378	214	351
379	215	350
380	215	350
381	216	349
382	216	349
383	217	348
384	217	348
385	218	347
386	219	346
387	219	346
388	220	345
389	220	345
390	221	344
391	221	344
392	222	343
393	223	342
394	223	342
395	224	341
396	224	341
397	225	340
398	225	339
399	226	339
400	226	338
401	227	337
402	227	337
403	228	336
404	228	336
405	229	335
406	229	334
407	230	334
408	230	333
409	231	332
410	231	332
411	232	331
412	232	331
413	233	330
414	233	329
415	234	329
416	234	328
417	235	327
418	235	327
419	236	326
420	237	326
421	237	325
422	238	324
423	238	324
424	239	324
425	240	323
426	240	322
427	241	322
428	241	321
429	242	320
430	242	320
431	243	319
432	243	319
433	244	318
434	244	318
435	245	317
436	245	316
437	246	316
438	247	315
439	247	315
440	248	314
441	248	313
442	249	313
443	249	312
444	250	311
445	250	311
446	251	310
447	251	310
448	252	309
449	252	309
450	253	308
451	254	308
452	254	307
453	255	306
454	255	306
455	256	305
456	256	305
457	257	304
458	257	303
459	258	303
460	259	302
461	259	302
462	260	301
463	260	301
464	261	300
465	261	300
466	262	299
467	262	298
468	263	298
469	263	297
470	264	297
471	265	296
472	265	296
473	266	295
474	266	294
475	267	294
476	267	293
477	268	292
478	268	292
479	269	291
480	269	290
481	270	290
482	270	289
483	271	289
484	271	288
485	272	288
486	272	287
487	273	286
488	273	286
489	274	285
490	274	284
491	275	284
492	275	283
493	276	282
494	276	282
495	277	281
496	277	281
497	278	280
498	278	279
499	279	279
500	279	278
501	280	277
502	280	277
503	281	276
504	281	276
505	282	275
506	282	274
507	283	274
508	283	273
509	284	273
510	285	272
511	285	272
512	286	271
513	286	271
514	287	270
515	287	269
516	288	269
517	288	268
518	289	268
519	289	267
520	290	267
521	291	266
522	291	265
523	292	265
524	292	264
525	293	264
526	293	263
527	294	263
528	294	262
529	295	261
530	295	261
531	296	260
532	296	260
533	297	259
534	297	258
535	298	258
536	299	257
537	299	257
538	300	256
539	300	256
540	301	255
541	301	254
542	302	254
543	303	254
544	303	253
545	304	252
546	304	252
547	305	251
548	305	251
549	306	250
550	307	250
551	307	249
552	308	249
553	308	248
554	309	247
555	309	247
556	310	246
557	310	246
558	311	245
559	311	245
560	312	244
561	313	243
562	313	243
563	314	242
564	314	242
565	314	241
566	315	240
567	316	240
568	316	239
569	317	239
570	317	238
571	318	238
572	319	237
573	319	237
574	320	236
575	320	236
576	321	235
577	321	234
578	322	234
579	322	233
580	323	233
581	324	232
582	324	232
583	325	231
584	325	231
585	326	230
586	326	229
587	327	229
588	327	228
589	328	228
590	328	227
591	329	227
592	329	226
593	330	225
594	331	225
595	331	224
596	332	224
597	332	223
598	333	223
599	333	222
600	334	222
601	335	221
602	335	220
603	335	220
604	336	219
605	337	219
606	337	218
607	338	218
608	338	217
609	339	216
610	340	216
611	340	215
612	341	215
613	341	214
614	342	214
615	343	213
616	343	213
617	344	212
618	344	212
619	345	211
620	346	211
621	346	210
622	347	210
623	348	209
624	348	209
625	349	208
626	350	208
627	350	207
628	351	207
629	351	206
630	352	206
631	352	205
632	353	204
